Policy_ID,Policy_Type,Age,Issue_year,Current_Year,Coverage,RiskClass,Premium,Claims,Claim_Costs,Profitability
1339,Life,28,2007,2023,47894.01,Standard,9578.801578,1,12450,-0.299745057
1298,Life,13,2002,2023,51634.51,Standard,10326.90267,3,13420,-0.299518397
1959,Home,21,,2023,52501.75,Standard,5250.174835,2,1050,0.80000666
1761,Life,40,2008,2023,53861.85,Standard,10772.3698,3,14000,-0.299621185
1221,Auto,73,2007,2023,55768.57,Standard,1115.371399,3,1450,-0.300015404
1868,Life,23,2001,2023,57064.57,Preferred,11412.91307,0,0,1
1268,Auto,19,2007,2023,57230.97,Standard,1144.619324,2,2289,-0.999791504
1862,Home,48,2002,2023,57726.19,Standard,5772.619465,3,1155,0.799917523
1284,Auto,95,2007,2023,57790.31,Preferred,1155.80628,0,0,1
1075,Auto,50,2005,2023,57949.94,Standard,1158.998755,2,232,0.799827222
1840,Auto,37,2001,2023,58093.78,Standard,1161.875647,1,232,0.800322865
1355,Home,15,2004,2023,58149.18,Standard,5814.91794,2,11630,-1.000028224
1480,Life,34,2005,2023,58157.28,Standard,11631.45615,2,2330,0.799681143
1879,Auto,7,2002,2023,58283.11,Preferred,1165.662116,0,0,1
1117,Auto,57,2002,2023,58294.65,Standard,1165.892972,2,233,0.800153182
1405,Home,17,2003,2023,58388.77,SubStandard,5838.87704,3,11680,-1.000384649
1454,Auto,47,2005,2023,58524.56,Standard,1170.491244,3,234,0.800083938
1278,Home,100,2003,2023,58625.84,Preferred,5862.583885,0,0,1
2047,Life,21,2007,2023,58816.61,Standard,11763.32251,3,15290,-0.299802839
1654,Auto,23,2004,2023,58829.97,Standard,1176.599433,3,2353,-0.999830982
1541,Auto,28,2008,2023,58943.77,Standard,1178.875344,3,2358,-1.000211483
1280,Life,52,2006,2023,59213.73,Standard,11842.74502,2,23690,-1.00038082
1910,Auto,17,2009,2023,59263.31,Standard,1185.266255,1,237,0.800044927
1189,Auto,13,,2023,59548.98,Standard,1190.979566,3,1548,-0.299770411
1606,Life,13,2002,2023,59711.91,Standard,11942.38111,3,2390,0.799872406
1077,Auto,4,2009,2023,59781.95,Standard,1195.638932,2,2391,-0.999767602
1184,Life,30,2003,2023,60051.25,SubStandard,12010.25071,2,24020,-0.999958251
1385,Life,9,2005,2023,60136.87,Standard,12027.37403,3,15640,-0.300366976
1567,Auto,11,2008,2023,60154.41,Standard,1203.088129,3,1564,-0.299987891
1242,Home,30,2009,2023,60175.75,SubStandard,6017.575415,2,1205,0.799753237
1201,Home,77,2008,2023,60438.03,Preferred,6043.80295,0,0,1
1467,Home,15,2009,2023,60502.92,Standard,6050.2924,3,12100,-0.999903344
1442,Home,38,2007,2023,60584.22,Standard,6058.42164,1,1210,0.800278014
1897,Home,100,2004,2023,60779.2,Standard,6077.919765,1,1215,0.800096078
1391,Auto,50,2005,2023,60783.14,Preferred,1215.662703,0,0,1
1348,Home,12,2002,2023,60863.63,Standard,6086.363135,1,1215,0.800373397
1984,Home,15,,2023,61219.49,Preferred,6121.949385,0,0,1
1909,Auto,4,2002,2023,61302.52,Substandard,1226.050419,1,245,0.80017135
1093,Home,56,2004,2023,61372.31,Preferred,6137.230705,0,0,1
1163,Auto,23,2001,2023,61526.09,Standard,1230.521721,2,1600,-0.300261485
1230,Home,100,2002,2023,61600.99,Preferred,6160.099155,0,0,1
1624,Auto,24,2008,2023,61671.18,Preferred,1233.423567,0,0,1
1553,Home,98,2005,2023,61778.9,SubStandard,6177.889815,3,1235,0.800093553
1847,Home,13,2004,2023,61785.9,SubStandard,6178.590005,2,12355,-0.999647167
1587,Home,3,,2023,61810.67,SubStandard,6181.067425,2,12360,-0.999654615
1310,Auto,38,2003,2023,61862.22,SubStandard,1237.24436,2,2474,-0.999604993
1824,Home,37,2008,2023,61865.95,Standard,6186.59513,0,0,1
1691,Auto,17,2004,2023,61930.87,Standard,1238.617432,0,0,1
1619,Life,31,2005,2023,62004.37,SubStandard,12400.87312,3,24800,-0.999859184
1009,Auto,60,2001,2023,62045.86,Standard,1240.917104,0,0,1
1444,Auto,41,2002,2023,62051.92,Substandard,1241.038489,1,1613,-0.299717949
1876,Life,30,2003,2023,62054.31,Standard,12410.86188,0,0,1
1140,Home,27,2008,2023,62101.86,SubStandard,6210.18554,3,8075,-0.300283212
1106,Auto,4,2003,2023,62163.62,SubStandard,1243.272481,3,249,0.799722101
1036,Auto,87,2003,2023,62249.61,SubStandard,1244.992271,3,249,0.799998758
1398,Home,52,2004,2023,62262.32,Standard,6226.232195,2,12450,-0.999604192
2004,Life,61,,2023,62275.78,Substandard,12455.15585,1,2490,0.800082791
1276,Auto,5,2003,2023,62284.86,SubStandard,1245.697283,2,2491,-0.999683257
1771,Life,44,2006,2023,62300.44,SubStandard,12460.08776,2,16200,-0.300151356
1374,Life,16,2008,2023,62317.3,SubStandard,12463.4599,3,24930,-1.000247138
1983,Life,5,2002,2023,62734.9,Standard,12546.97961,0,0,1
1803,Home,100,,2023,62743.65,SubStandard,6274.36465,2,1255,0.799979748
2002,Life,10,2007,2023,62764.58,SubStandard,12552.91538,2,16320,-0.300096392
1676,Auto,27,2007,2023,62952.82,SubStandard,1259.056337,2,252,0.7998501
1376,Life,40,2009,2023,62953.29,Substandard,12590.65771,1,2520,0.7998516
1545,Life,48,2005,2023,63030.98,SubStandard,12606.19507,3,16390,-0.300154401
1382,Life,38,2009,2023,63288.76,SubStandard,12657.75175,3,2530,0.800122482
1572,Life,84,2007,2023,63371.17,SubStandard,12674.23324,2,2530,0.800382402
1996,Auto,20,2008,2023,63664.39,Standard,1273.287853,0,0,1
1797,Life,48,2005,2023,63721.94,SubStandard,12744.38811,3,2550,0.799911932
1982,Life,2,,2023,63730.91,SubStandard,12746.18125,3,16570,-0.299997205
1895,Home,32,2003,2023,63755.69,SubStandard,6375.569105,2,1275,0.800017853
1479,Auto,31,2007,2023,63977.62,Standard,1279.552446,1,1663,-0.299673183
